,Episode,Time Step,Average Reward,Episode Reward
292,292,3303,9.2,1.0
293,293,3317,9.34,14.0
294,294,3328,9.33,11.0
295,295,3332,9.37,4.0
296,296,3333,9.43,1.0
297,297,3352,9.52,19.0
298,298,3371,9.37,19.0
299,299,3380,9.32,9.0
300,300,3390,9.19,10.0
301,301,3403,9.41,13.0
302,302,3409,9.46,6.0
303,303,3418,9.31,9.0
304,304,3442,9.29,24.0
305,305,3443,9.36,1.0
306,306,3444,9.5,1.0
307,307,3447,9.33,3.0
308,308,3448,9.33,1.0
309,309,3457,9.18,9.0
310,310,3469,9.39,12.0
311,311,3482,9.29,13.0
312,312,3483,9.42,1.0
313,313,3491,9.42,8.0
314,314,3494,9.28,3.0
315,315,3507,9.3,13.0
316,316,3519,9.2,12.0
317,317,3525,9.26,6.0
318,318,3530,9.34,5.0
319,319,3537,9.32,7.0
320,320,3538,9.38,1.0
321,321,3539,9.44,1.0
322,322,3553,9.4,14.0
323,323,3560,9.4,7.0
324,324,3561,9.32,1.0
325,325,3572,9.33,11.0
326,326,3576,9.37,4.0
327,327,3582,9.36,6.0
328,328,3596,9.39,14.0
329,329,3603,9.31,7.0
330,330,3606,9.41,3.0
331,331,3623,9.33,17.0
332,332,3637,9.28,14.0
333,333,3646,9.25,9.0
334,334,3656,9.36,10.0
335,335,3670,9.43,14.0
336,336,3671,9.43,1.0
337,337,3676,9.19,5.0
338,338,3682,9.29,6.0
339,339,3697,9.28,15.0
340,340,3717,9.39,20.0
341,341,3724,9.45,7.0
342,342,3730,9.43,6.0
343,343,3739,9.85,9.0
344,344,3750,9.83,11.0
345,345,3756,9.92,6.0
346,346,3763,9.79,7.0
347,347,3764,9.52,1.0
348,348,3765,9.7,1.0
349,349,3783,9.58,18.0
350,350,3800,9.41,17.0
351,351,3815,9.45,15.0
352,352,3822,9.25,7.0
353,353,3832,9.34,10.0
354,354,3833,9.26,1.0
355,355,3845,9.37,12.0
356,356,3857,9.47,12.0
357,357,3865,9.26,8.0
358,358,3871,9.34,6.0
359,359,3884,9.27,13.0
360,360,3885,9.36,1.0
361,361,3896,9.35,11.0
362,362,3897,9.36,1.0
363,363,3900,9.41,3.0
364,364,3909,9.37,9.0
365,365,3922,9.31,13.0
366,366,3923,9.21,1.0
367,367,3929,9.31,6.0
368,368,3939,9.39,10.0
369,369,3952,9.26,13.0
370,370,3964,9.37,12.0
371,371,3978,9.39,14.0
372,372,3980,9.34,2.0
373,373,3984,9.45,4.0
374,374,3985,9.45,1.0
375,375,3991,9.39,6.0
376,376,4005,9.16,14.0
377,377,4017,9.45,12.0
378,378,4031,9.3,14.0
379,379,4036,9.24,5.0
380,380,4042,9.34,6.0
381,381,4043,9.39,1.0
382,382,4050,9.45,7.0
383,383,4063,9.31,13.0
384,384,4075,9.34,12.0
385,385,4076,9.25,1.0
386,386,4092,9.52,16.0
387,387,4098,9.49,6.0
388,388,4104,9.28,6.0
389,389,4118,9.34,14.0
390,390,4125,9.42,7.0
391,391,4142,9.4,17.0
392,392,4154,9.26,12.0
393,393,4155,9.34,1.0
394,394,4159,9.42,4.0
395,395,4171,9.23,12.0
396,396,4183,9.45,12.0
397,397,4184,9.36,1.0
398,398,4190,9.33,6.0
399,399,4206,9.43,16.0
400,400,4213,9.26,7.0
401,401,4224,9.36,11.0
402,402,4231,9.32,7.0
403,403,4248,9.41,17.0
404,404,4249,9.35,1.0
405,405,4258,9.42,9.0
406,406,4259,9.3,1.0
407,407,4261,9.33,2.0
408,408,4262,9.39,1.0
409,409,4273,9.24,11.0
410,410,4282,9.28,9.0
411,411,4295,9.4,13.0
412,412,4308,9.24,13.0
413,413,4315,9.39,7.0
414,414,4321,9.36,6.0
415,415,4330,9.4,9.0
416,416,4334,9.29,4.0
417,417,4335,9.33,1.0
418,418,4347,9.39,12.0
419,419,4358,9.41,11.0
420,420,4364,9.41,6.0
421,421,4372,9.37,8.0
422,422,4381,9.33,9.0
423,423,4395,9.24,14.0
424,424,4400,9.28,5.0
425,425,4409,9.47,9.0
426,426,4419,9.35,10.0
427,427,4420,9.35,1.0
428,428,4430,9.43,10.0
429,429,4441,9.32,11.0
430,430,4453,9.26,12.0
431,431,4462,9.32,9.0
432,432,4466,9.43,4.0
433,433,4473,9.25,7.0
434,434,4486,9.37,13.0
435,435,4494,9.37,8.0
436,436,4508,9.38,14.0
437,437,4512,9.42,4.0
438,438,4513,9.26,1.0
439,439,4518,9.35,5.0
440,440,4519,9.3,1.0
441,441,4530,9.37,11.0
442,442,4540,9.51,10.0
443,443,4541,9.44,1.0
444,444,4550,9.35,9.0
445,445,4563,9.33,13.0
446,446,4581,9.37,18.0
447,447,4588,9.33,7.0
448,448,4591,9.27,3.0
449,449,4597,9.38,6.0
450,450,4605,9.43,8.0
451,451,4606,9.39,1.0
452,452,4622,9.2,16.0
453,453,4630,9.37,8.0
454,454,4639,9.3,9.0
455,455,4651,9.31,12.0
456,456,4654,9.2,3.0
457,457,4668,9.38,14.0
458,458,4681,9.38,13.0
459,459,4682,9.43,1.0
460,460,4683,9.46,1.0
461,461,4698,9.36,15.0
462,462,4701,9.3,3.0
463,463,4702,9.45,1.0
464,464,4718,9.39,16.0
465,465,4736,9.31,18.0
466,466,4738,9.33,2.0
467,467,4751,9.37,13.0
468,468,4762,9.28,11.0
469,469,4771,9.41,9.0
470,470,4782,9.32,11.0
471,471,4793,9.39,11.0
472,472,4804,9.37,11.0
473,473,4821,9.66,17.0
474,474,4824,9.6,3.0
475,475,4825,9.49,1.0
476,476,4826,9.74,1.0
477,477,4834,9.76,8.0
478,478,4851,9.87,17.0
479,479,4881,11.09,30.0
480,480,4890,10.61,9.0
481,481,4904,10.41,14.0
482,482,4905,10.22,1.0
483,483,4918,11.32,13.0
484,484,4927,11.69,9.0
485,485,4935,11.17,8.0
486,486,4937,11.16,2.0
487,487,4946,10.48,9.0
488,488,4961,10.51,15.0
489,489,4968,10.75,7.0
490,490,4981,11.38,13.0
491,491,4990,11.13,9.0
492,492,4999,11.21,9.0
493,493,5013,10.31,14.0
494,494,5026,9.81,13.0
495,495,5035,9.78,9.0
496,496,5049,9.99,14.0
497,497,5057,10.35,8.0
498,498,5059,10.35,2.0
499,499,5068,10.44,9.0
500,500,5069,10.46,1.0
501,501,5082,10.34,13.0
502,502,5087,10.34,5.0
503,503,5088,10.24,1.0
504,504,5103,9.73,15.0
505,505,5120,9.58,17.0
506,506,5130,9.44,10.0
507,507,5143,9.8,13.0
508,508,5160,9.59,17.0
509,509,5173,9.45,13.0
510,510,5174,9.5,1.0
511,511,5179,9.44,5.0
512,512,5180,9.47,1.0
513,513,5194,9.58,14.0
514,514,5205,10.03,11.0
515,515,5206,10.0,1.0
516,516,5212,10.13,6.0
517,517,5213,10.37,1.0
518,518,5228,10.67,15.0
519,519,5229,10.4,1.0
520,520,5240,9.92,11.0
521,521,5246,9.97,6.0
522,522,5260,10.58,14.0
523,523,5261,10.48,1.0
524,524,5264,10.55,3.0
525,525,5280,10.35,16.0
526,526,5290,10.13,10.0
527,527,5291,10.11,1.0
528,528,5304,10.13,13.0
529,529,5318,10.32,14.0
530,530,5326,9.95,8.0
531,531,5339,9.83,13.0
532,532,5347,9.74,8.0
533,533,5364,9.82,17.0
534,534,5374,9.58,10.0
535,535,5375,9.62,1.0
536,536,5383,9.55,8.0
537,537,5394,9.75,11.0
538,538,5408,9.88,14.0
539,539,5428,9.86,20.0
540,540,5429,9.75,1.0
541,541,5436,9.7,7.0
542,542,5447,9.92,11.0
543,543,5453,9.94,6.0
544,544,5468,9.78,15.0
545,545,5483,10.05,15.0
546,546,5496,12.71,13.0
547,547,5510,15.45,14.0
548,548,5524,15.46,14.0
549,549,5529,15.39,5.0
550,550,5538,14.78,9.0
551,551,5546,13.11,8.0
552,552,5552,11.12,6.0
553,553,5567,11.08,15.0
554,554,5580,14.85,13.0
555,555,5586,15.44,6.0
556,556,5592,15.34,6.0
557,557,5604,16.52,12.0
558,558,5621,18.19,17.0
559,559,5622,15.95,1.0
560,560,5634,17.66,12.0
561,561,5646,15.71,12.0
562,562,5647,14.73,1.0
563,563,5660,15.56,13.0
564,564,5661,15.05,1.0
565,565,5674,14.53,13.0
566,566,5684,10.4,10.0
567,567,5695,9.39,11.0
568,568,5710,9.4,15.0
569,569,5718,9.36,8.0
570,570,5726,9.37,8.0
571,571,5740,9.43,14.0
572,572,5741,9.34,1.0
573,573,5753,9.47,12.0
574,574,5757,9.23,4.0
575,575,5758,9.37,1.0
576,576,5772,9.4,14.0
577,577,5781,9.37,9.0
578,578,5793,9.32,12.0
579,579,5794,9.35,1.0
580,580,5799,9.45,5.0
581,581,5809,11.14,10.0
582,582,5810,10.89,1.0
583,583,5835,10.99,25.0
584,584,5843,9.88,8.0
585,585,5852,9.62,9.0
586,586,5853,10.6,1.0
587,587,5867,11.98,14.0
588,588,5868,12.1,1.0
589,589,5880,20.03,12.0
590,590,5886,22.21,6.0
591,591,5900,13.16,14.0
592,592,5916,13.82,16.0
593,593,5923,14.43,7.0
594,594,5936,20.38,13.0
595,595,5951,11.06,15.0
596,596,5956,11.91,5.0
597,597,5957,11.56,1.0
598,598,5963,12.67,6.0
599,599,5964,13.45,1.0
600,600,5973,13.09,9.0
601,601,5998,9.38,25.0
602,602,6005,9.48,7.0
603,603,6013,9.28,8.0
604,604,6019,9.45,6.0
605,605,6029,9.29,10.0
606,606,6042,9.43,13.0
607,607,6050,9.3,8.0
608,608,6064,9.42,14.0
609,609,6071,9.35,7.0
610,610,6086,15.2,15.0
611,611,6094,16.81,8.0
612,612,6119,9.3,25.0
613,613,6124,9.33,5.0
614,614,6140,9.25,16.0
615,615,6155,9.22,15.0
616,616,6164,9.43,9.0
617,617,6170,9.36,6.0
618,618,6186,9.28,16.0
619,619,6199,9.34,13.0
620,620,6211,9.43,12.0
621,621,6226,9.13,15.0
622,622,6227,9.35,1.0
623,623,6240,9.28,13.0
624,624,6247,9.36,7.0
625,625,6258,9.36,11.0
626,626,6268,9.37,10.0
627,627,6275,9.14,7.0
628,628,6285,9.41,10.0
629,629,6294,9.44,9.0
630,630,6297,9.34,3.0
631,631,6311,9.45,14.0
632,632,6317,9.39,6.0
633,633,6322,9.27,5.0
634,634,6325,9.2,3.0
635,635,6337,9.32,12.0
636,636,6338,9.41,1.0
637,637,6339,9.39,1.0
638,638,6350,9.42,11.0
639,639,6364,9.37,14.0
640,640,6365,9.24,1.0
641,641,6374,9.34,9.0
642,642,6386,9.25,12.0
643,643,6394,9.57,8.0
644,644,6404,10.54,10.0
645,645,6414,15.96,10.0
646,646,6423,18.2,9.0
647,647,6439,18.43,16.0
648,648,6451,19.87,12.0
649,649,6458,18.81,7.0
650,650,6460,19.4,2.0
651,651,6472,14.68,12.0
652,652,6487,9.43,15.0
653,653,6494,9.42,7.0
654,654,6498,9.32,4.0
655,655,6512,9.21,14.0
656,656,6522,9.34,10.0
657,657,6531,9.22,9.0
658,658,6542,9.24,11.0
659,659,6546,9.52,4.0
660,660,6553,9.39,7.0
661,661,6567,9.34,14.0
662,662,6568,9.38,1.0
663,663,6583,9.35,15.0
664,664,6594,9.31,11.0
665,665,6595,9.18,1.0
666,666,6606,9.44,11.0
667,667,6613,9.29,7.0
668,668,6622,9.41,9.0
669,669,6623,9.41,1.0
670,670,6636,9.43,13.0
671,671,6641,9.26,5.0
672,672,6654,9.29,13.0
673,673,6655,9.53,1.0
674,674,6666,9.41,11.0
675,675,6680,9.29,14.0
676,676,6691,9.24,11.0
677,677,6703,9.4,12.0
678,678,6714,9.45,11.0
679,679,6726,9.29,12.0
680,680,6733,9.42,7.0
681,681,6744,9.32,11.0
682,682,6763,9.37,19.0
683,683,6776,9.57,13.0
684,684,6787,9.28,11.0
685,685,6788,9.36,1.0
686,686,6789,9.41,1.0
687,687,6790,9.34,1.0
688,688,6794,9.46,4.0
689,689,6798,9.32,4.0
690,690,6807,9.37,9.0
691,691,6819,9.41,12.0
692,692,6820,9.37,1.0
693,693,6835,9.39,15.0
694,694,6849,9.2,14.0
695,695,6850,9.38,1.0
696,696,6860,9.26,10.0
697,697,6865,9.43,5.0
698,698,6878,9.4,13.0
699,699,6882,9.42,4.0
700,700,6888,9.36,6.0
701,701,6895,9.28,7.0
702,702,6902,9.31,7.0
703,703,6903,9.42,1.0
704,704,6916,9.42,13.0
705,705,6917,9.37,1.0
706,706,6944,9.29,27.0
707,707,6945,9.24,1.0
708,708,6952,9.31,7.0
709,709,6963,9.29,11.0
710,710,6964,9.35,1.0
711,711,6971,9.29,7.0
712,712,6975,9.22,4.0
713,713,6990,9.36,15.0
714,714,7015,9.48,25.0
715,715,7023,9.42,8.0
716,716,7040,9.48,17.0
717,717,7067,9.97,27.0
718,718,7078,9.32,11.0
719,719,7090,9.38,12.0
720,720,7096,9.45,6.0
721,721,7097,9.46,1.0
722,722,7102,9.39,5.0
723,723,7103,9.42,1.0
724,724,7113,9.52,10.0
725,725,7117,9.4,4.0
726,726,7126,9.39,9.0
727,727,7140,9.4,14.0
728,728,7150,9.45,10.0
729,729,7151,9.35,1.0
730,730,7161,9.33,10.0
731,731,7173,9.38,12.0
732,732,7196,9.38,23.0
733,733,7210,9.3,14.0
