Timestep,Average Reward,Episode Reward
635,178.41,0.0
636,159.46,0.0
637,172.39,0.0
638,164.82,0.0
639,162.39,0.0
640,178.32,0.0
641,195.03,0.0
642,170.68,0.0
643,206.97,0.0
644,197.0,0.0
645,232.26,0.0
646,261.89,0.0
647,263.18,0.0
648,298.52,0.0
649,263.37,0.0
650,302.24,0.0
651,271.15,0.0
652,299.85,0.0
653,265.64,0.0
654,272.24,0.0
655,272.23,0.0
656,288.74,0.0
657,280.34,0.0
658,270.85,0.0
659,278.85,0.0
660,282.88,0.0
661,290.92,0.0
662,244.56,0.0
663,254.15,0.0
664,298.85,0.0
665,280.81,0.0
666,233.53,0.0
667,262.61,0.0
668,256.19,0.0
669,318.97,0.0
670,309.2,0.0
671,282.35,0.0
672,300.29,0.0
673,275.25,0.0
674,262.46,0.0
675,304.37,0.0
676,301.99,0.0
677,322.97,0.0
678,298.2,0.0
679,320.72,0.0
680,308.56,0.0
681,292.99,0.0
682,321.61,0.0
683,291.94,0.0
684,298.22,0.0
685,321.88,0.0
686,324.96,0.0
687,316.98,0.0
688,334.51,0.0
689,299.67,0.0
690,253.39,0.0
691,260.6,0.0
692,264.08,0.0
693,235.03,0.0
694,237.57,0.0
695,237.28,0.0
696,251.2,0.0
697,232.43,0.0
698,246.99,0.0
699,217.59,0.0
700,197.03,0.0
701,219.24,0.0
702,179.8,0.0
703,255.1,0.0
704,197.6,0.0
705,179.55,0.0
706,190.2,0.0
707,206.92,0.0
708,196.17,0.0
709,238.0,0.0
710,218.66,0.0
711,208.17,0.0
712,256.46,0.0
713,219.38,0.0
714,205.23,0.0
715,244.77,0.0
716,208.73,0.0
717,227.9,0.0
718,217.98,0.0
719,252.2,0.0
720,240.14,0.0
721,273.58,0.0
722,301.25,0.0
723,273.71,0.0
724,248.62,0.0
725,280.57,0.0
726,313.65,0.0
727,334.12,0.0
728,319.28,0.0
729,318.41,0.0
730,300.36,0.0
731,322.89,0.0
732,324.79,0.0
733,274.93,0.0
734,287.21,0.0
735,326.44,0.0
736,295.1,0.0
737,305.19,0.0
738,305.13,0.0
739,310.86,0.0
740,325.82,0.0
741,246.65,0.0
742,261.69,0.0
743,301.07,0.0
744,238.45,0.0
745,252.98,0.0
746,240.28,0.0
747,306.02,0.0
748,278.39,0.0
749,302.28,0.0
750,305.98,0.0
751,315.19,0.0
752,329.81,0.0
753,320.76,0.0
754,344.57,0.0
755,336.3,0.0
756,340.84,0.0
757,357.23,0.0
758,387.02,0.0
759,369.19,0.0
760,334.06,0.0
761,353.3,0.0
762,338.54,0.0
763,292.29,0.0
764,326.02,0.0
765,339.01,0.0
766,319.47,0.0
767,310.51,0.0
768,306.13,0.0
769,317.56,0.0
770,311.5,0.0
771,263.76,0.0
772,250.76,0.0
773,245.91,0.0
774,218.69,0.0
775,196.15,0.0
776,209.25,0.0
777,215.84,0.0
778,198.24,0.0
779,221.04,0.0
780,191.46,0.0
781,238.57,0.0
782,220.45,0.0
783,186.77,0.0
784,235.28,0.0
785,227.51,0.0
786,249.98,0.0
787,235.28,0.0
788,253.9,0.0
789,272.86,0.0
790,301.11,0.0
791,308.12,0.0
792,331.02,0.0
793,295.84,0.0
794,318.86,0.0
795,366.84,0.0
796,305.64,0.0
797,301.82,0.0
798,358.15,0.0
799,331.44,0.0
800,351.14,0.0
801,306.79,0.0
802,334.93,0.0
803,280.85,0.0
804,320.76,0.0
805,315.48,0.0
806,287.41,0.0
807,268.37,0.0
808,294.55,0.0
809,281.4,0.0
810,313.16,0.0
811,289.44,0.0
812,309.73,0.0
813,266.66,0.0
814,299.58,0.0
815,279.03,0.0
816,239.14,0.0
817,265.82,0.0
818,266.68,0.0
819,317.01,0.0
820,274.88,0.0
821,231.26,0.0
822,246.32,0.0
823,230.65,0.0
824,292.83,0.0
825,282.18,0.0
826,292.43,0.0
827,259.09,0.0
828,310.16,0.0
829,285.99,0.0
830,292.53,0.0
831,290.74,0.0
832,270.69,0.0
833,294.7,0.0
834,312.93,0.0
835,316.28,0.0
836,307.75,0.0
837,356.89,0.0
838,320.21,0.0
839,328.2,0.0
840,315.47,0.0
841,300.82,0.0
842,319.62,0.0
843,325.3,0.0
844,347.72,0.0
845,350.98,0.0
846,319.86,0.0
847,315.34,0.0
848,280.59,0.0
849,294.59,0.0
850,330.7,0.0
851,315.09,0.0
852,278.36,0.0
853,271.45,0.0
854,283.83,0.0
855,265.46,0.0
856,241.07,0.0
857,270.98,0.0
858,224.49,0.0
859,253.98,0.0
860,196.39,0.0
861,224.05,0.0
862,210.71,0.0
863,217.75,0.0
864,245.67,0.0
865,227.63,0.0
866,256.39,0.0
867,275.09,0.0
868,294.03,0.0
869,300.16,0.0
870,302.56,0.0
871,355.9,0.0
872,317.82,0.0
873,351.88,0.0
874,308.42,0.0
875,311.02,0.0
876,307.92,0.0
877,313.66,0.0
878,274.84,0.0
879,352.62,0.0
880,355.43,0.0
881,298.0,0.0
882,284.34,0.0
883,335.1,0.0
884,319.14,0.0
885,324.99,0.0
886,332.04,0.0
887,339.08,0.0
888,320.58,0.0
889,347.36,0.0
890,359.03,0.0
891,332.29,0.0
892,362.37,0.0
893,321.56,0.0
894,311.95,0.0
895,313.54,0.0
896,340.37,0.0
897,299.07,0.0
898,300.62,0.0
899,262.68,0.0
900,289.4,0.0
901,276.99,0.0
902,223.12,0.0
903,256.24,0.0
904,253.13,0.0
905,236.63,0.0
906,261.86,0.0
907,230.37,0.0
908,241.56,0.0
909,248.22,0.0
910,226.07,0.0
911,214.75,0.0
912,247.17,0.0
913,230.46,0.0
914,213.37,0.0
915,218.99,0.0
916,220.86,0.0
917,203.04,0.0
918,224.44,0.0
919,238.14,0.0
920,224.05,0.0
921,279.56,0.0
922,268.84,0.0
923,270.55,0.0
924,286.29,0.0
925,283.62,0.0
926,341.03,0.0
927,325.89,0.0
928,314.82,0.0
929,300.87,0.0
930,357.02,0.0
931,355.74,0.0
932,311.82,0.0
933,325.91,0.0
934,328.06,0.0
935,287.43,0.0
936,313.44,0.0
937,260.25,0.0
938,262.8,0.0
939,254.05,0.0
940,279.8,0.0
941,223.37,0.0
942,205.95,0.0
943,222.05,0.0
944,198.97,0.0
945,182.84,0.0
946,199.65,0.0
947,180.59,0.0
948,187.31,0.0
949,190.39,0.0
950,253.53,0.0
951,227.53,0.0
952,266.78,0.0
953,263.04,0.0
954,286.96,0.0
955,311.86,0.0
956,295.27,0.0
957,338.71,0.0
958,373.92,0.0
959,354.58,0.0
960,326.0,0.0
961,355.43,0.0
962,385.49,0.0
963,378.08,0.0
964,376.85,0.0
965,380.71,0.0
966,401.21,0.0
967,343.78,0.0
968,349.81,0.0
969,361.32,0.0
970,365.53,0.0
971,344.18,0.0
972,320.58,0.0
973,318.09,0.0
974,302.45,0.0
975,266.09,0.0
976,262.78,0.0
977,300.27,0.0
