,Episode,Time Step,Average Reward,Episode Reward
353,353,5221,45.09,18.0
354,354,5238,60.5,17.0
355,355,5249,55.15,11.0
356,356,5266,54.76,17.0
357,357,5282,43.31,16.0
358,358,5329,69.61,47.0
359,359,5340,71.73,11.0
360,360,5347,62.36,7.0
361,361,5378,47.29,31.0
362,362,5400,49.72,22.0
363,363,5457,43.34,57.0
364,364,5472,37.53,15.0
365,365,5473,36.35,1.0
366,366,5474,32.33,1.0
367,367,5515,45.13,41.0
368,368,5587,33.05,72.0
369,369,5594,51.35,7.0
370,370,5626,54.09,32.0
371,371,5698,113.6,72.0
372,372,5700,106.88,2.0
373,373,5709,45.74,9.0
374,374,5714,108.11,5.0
375,375,5738,79.94,24.0
376,376,5750,112.26,12.0
377,377,5828,77.77,78.0
378,378,5840,76.96,12.0
379,379,5910,122.83,70.0
380,380,5941,72.61,31.0
381,381,5998,46.3,57.0
382,382,6087,96.8,89.0
383,383,6118,65.86,31.0
384,384,6120,68.18,2.0
385,385,6194,105.54,74.0
386,386,6266,106.31,72.0
387,387,6285,110.74,19.0
388,388,6286,104.6,1.0
389,389,6312,94.28,26.0
390,390,6320,75.0,8.0
391,391,6325,73.3,5.0
392,392,6340,30.11,15.0
393,393,6375,26.93,35.0
394,394,6419,85.19,44.0
395,395,6425,90.78,6.0
396,396,6426,85.93,1.0
397,397,6427,93.57,1.0
398,398,6442,85.79,15.0
399,399,6535,44.35,93.0
400,400,6542,43.19,7.0
401,401,6545,44.43,3.0
402,402,6546,43.17,1.0
403,403,6563,38.31,17.0
404,404,6568,36.89,5.0
405,405,6575,53.23,7.0
406,406,6605,84.04,30.0
407,407,6634,129.29,29.0
408,408,6690,158.87,56.0
409,409,6695,145.63,5.0
410,410,6704,129.49,9.0
411,411,6714,103.31,10.0
412,412,6730,178.03,16.0
413,413,6735,140.8,5.0
414,414,6758,87.29,23.0
415,415,6803,94.19,45.0
416,416,6825,140.67,22.0
417,417,6866,176.33,41.0
418,418,6897,108.91,31.0
419,419,6969,28.44,72.0
420,420,6984,27.39,15.0
421,421,7045,35.65,61.0
422,422,7061,75.17,16.0
423,423,7102,62.51,41.0
424,424,7106,49.87,4.0
425,425,7116,36.23,10.0
426,426,7173,46.86,57.0
427,427,7175,54.83,2.0
428,428,7186,54.9,11.0
429,429,7216,25.83,30.0
430,430,7228,29.08,12.0
431,431,7275,44.16,47.0
432,432,7285,51.17,10.0
433,433,7303,39.13,18.0
434,434,7320,38.17,17.0
435,435,7330,42.43,10.0
436,436,7331,41.29,1.0
437,437,7357,144.62,26.0
438,438,7375,146.16,18.0
439,439,7462,41.17,87.0
440,440,7473,38.02,11.0
441,441,7474,37.7,1.0
442,442,7532,33.92,58.0
443,443,7570,32.47,38.0
444,444,7578,29.18,8.0
445,445,7583,28.35,5.0
446,446,7616,29.04,33.0
447,447,7642,129.9,26.0
448,448,7673,157.11,31.0
449,449,7695,161.27,22.0
450,450,7749,254.74,54.0
451,451,7770,254.2,21.0
452,452,7784,240.28,14.0
453,453,7806,80.33,22.0
454,454,7829,76.94,23.0
455,455,7854,37.96,25.0
456,456,7891,34.58,37.0
457,457,7897,37.52,6.0
458,458,7919,43.1,22.0
459,459,7977,92.63,58.0
460,460,7997,39.85,20.0
461,461,8038,46.71,41.0
462,462,8047,46.69,9.0
463,463,8118,42.08,71.0
464,464,8146,37.27,28.0
465,465,8164,37.89,18.0
466,466,8165,38.68,1.0
467,467,8193,64.81,28.0
468,468,8238,41.32,45.0
469,469,8261,44.4,23.0
470,470,8262,41.86,1.0
471,471,8285,39.22,23.0
472,472,8352,32.12,67.0
473,473,8353,33.02,1.0
474,474,8395,27.57,42.0
475,475,8421,28.41,26.0
476,476,8442,32.21,21.0
477,477,8453,33.67,11.0
478,478,8484,38.1,31.0
479,479,8504,38.56,20.0
480,480,8516,33.27,12.0
481,481,8598,145.13,82.0
482,482,8614,144.04,16.0
483,483,8637,61.79,23.0
484,484,8638,56.58,1.0
485,485,8639,60.86,1.0
486,486,8660,59.68,21.0
487,487,8669,60.78,9.0
488,488,8697,50.62,28.0
489,489,8730,52.19,33.0
490,490,8736,55.34,6.0
491,491,8778,58.31,42.0
492,492,8779,55.0,1.0
493,493,8859,156.25,80.0
494,494,8860,159.03,1.0
